corpus,tier,family,assignment_seed,model_seed,bpb,parameters,evaluation_mode,scored_source_bytes,scored_events,tokenizer_json,tokenizer_json_sha256,report
Tiny Shakespeare,6.5M,Permuted Flat,314159,13,2.289940729119326,6555064,full-context,109477.66666666759,92297,experiments/evaluation/tokenizers/control_permuted_codes_s3_seed314159.json,cbdae27ee7820ef4030ffc836ac077ccf7527b3eea1fa9971cf596ddc8d52b5d,experiments/evaluation/results/random_flat_6m_seed13.test_metrics.json
Tiny Shakespeare,6.5M,Permuted Flat,314159,29,2.309861423699216,6555064,full-context,109477.66666666759,92297,experiments/evaluation/tokenizers/control_permuted_codes_s3_seed314159.json,cbdae27ee7820ef4030ffc836ac077ccf7527b3eea1fa9971cf596ddc8d52b5d,experiments/evaluation/results/random_flat_6m_seed29.test_metrics.json
Tiny Shakespeare,6.5M,Permuted Flat,314159,47,2.289881117546998,6555064,full-context,109477.66666666759,92297,experiments/evaluation/tokenizers/control_permuted_codes_s3_seed314159.json,cbdae27ee7820ef4030ffc836ac077ccf7527b3eea1fa9971cf596ddc8d52b5d,experiments/evaluation/results/random_flat_6m_seed47.test_metrics.json
Tiny Shakespeare,6.5M,Permuted Flat,271828,13,2.29484382784835,6555064,full-context,109477.66666666759,92297,experiments/evaluation/tokenizers/control_permuted_codes_s3_seed271828.json,f36bbb38b1701e9ced207d446c365f4f41930366c7d359b72e1d71807a8ad69d,experiments/evaluation/results/random_2_flat_6m_seed13.test_metrics.json
Tiny Shakespeare,6.5M,Permuted Flat,271828,29,2.309639996219656,6555064,full-context,109477.66666666759,92297,experiments/evaluation/tokenizers/control_permuted_codes_s3_seed271828.json,f36bbb38b1701e9ced207d446c365f4f41930366c7d359b72e1d71807a8ad69d,experiments/evaluation/results/random_2_flat_6m_seed29.test_metrics.json
Tiny Shakespeare,6.5M,Permuted Flat,271828,47,2.277503439386876,6555064,full-context,109477.66666666759,92297,experiments/evaluation/tokenizers/control_permuted_codes_s3_seed271828.json,f36bbb38b1701e9ced207d446c365f4f41930366c7d359b72e1d71807a8ad69d,experiments/evaluation/results/random_2_flat_6m_seed47.test_metrics.json
Tiny Shakespeare,6.5M,Permuted Flat,161803,13,2.2914912093447266,6555064,full-context,109477.66666666759,92297,experiments/evaluation/tokenizers/control_permuted_codes_s3_seed161803.json,71b7ffa24ee8196819ff096218eb50a47893f9d7ee7d17d35d8b6de3385fb596,experiments/evaluation/results/random_3_flat_6m_seed13.test_metrics.json
Tiny Shakespeare,6.5M,Permuted Flat,161803,29,2.3000896500420422,6555064,full-context,109477.66666666759,92297,experiments/evaluation/tokenizers/control_permuted_codes_s3_seed161803.json,71b7ffa24ee8196819ff096218eb50a47893f9d7ee7d17d35d8b6de3385fb596,experiments/evaluation/results/random_3_flat_6m_seed29.test_metrics.json
Tiny Shakespeare,6.5M,Permuted Flat,161803,47,2.2918179385174184,6555064,full-context,109477.66666666759,92297,experiments/evaluation/tokenizers/control_permuted_codes_s3_seed161803.json,71b7ffa24ee8196819ff096218eb50a47893f9d7ee7d17d35d8b6de3385fb596,experiments/evaluation/results/random_3_flat_6m_seed47.test_metrics.json
enwik8,6.5M,Permuted Flat,314159,13,2.4933895005340387,6561064,block-reset,4999940.25,5605600,experiments/evaluation/tokenizers/enwik8_lossless_permuted_codes_s4_seed314159.json,0cd867f3fa696296baa864c222954caa9c269e6b3ee703572e76d57436360cec,experiments/evaluation/results/enwik8_lossless_s4_random_flat_6m_seed13.test_metrics.json
enwik8,6.5M,Permuted Flat,314159,29,2.5057466242743116,6561064,block-reset,4999940.25,5605600,experiments/evaluation/tokenizers/enwik8_lossless_permuted_codes_s4_seed314159.json,0cd867f3fa696296baa864c222954caa9c269e6b3ee703572e76d57436360cec,experiments/evaluation/results/enwik8_lossless_s4_random_flat_6m_seed29.test_metrics.json
enwik8,6.5M,Permuted Flat,314159,47,2.513156487961057,6561064,block-reset,4999940.25,5605600,experiments/evaluation/tokenizers/enwik8_lossless_permuted_codes_s4_seed314159.json,0cd867f3fa696296baa864c222954caa9c269e6b3ee703572e76d57436360cec,experiments/evaluation/results/enwik8_lossless_s4_random_flat_6m_seed47.test_metrics.json
enwik8,6.5M,Permuted Flat,271828,13,2.5216992585143676,6561064,block-reset,4999940.25,5605600,experiments/evaluation/tokenizers/enwik8_lossless_permuted_codes_s4_seed271828.json,acff6bf8079290e9e5f93957487517d02195aad00b331ef57e2085610c575558,experiments/evaluation/results/enwik8_lossless_s4_random_2_flat_6m_seed13.test_metrics.json
enwik8,6.5M,Permuted Flat,271828,29,2.5194131686154195,6561064,block-reset,4999940.25,5605600,experiments/evaluation/tokenizers/enwik8_lossless_permuted_codes_s4_seed271828.json,acff6bf8079290e9e5f93957487517d02195aad00b331ef57e2085610c575558,experiments/evaluation/results/enwik8_lossless_s4_random_2_flat_6m_seed29.test_metrics.json
enwik8,6.5M,Permuted Flat,271828,47,2.521926905268709,6561064,block-reset,4999940.25,5605600,experiments/evaluation/tokenizers/enwik8_lossless_permuted_codes_s4_seed271828.json,acff6bf8079290e9e5f93957487517d02195aad00b331ef57e2085610c575558,experiments/evaluation/results/enwik8_lossless_s4_random_2_flat_6m_seed47.test_metrics.json
enwik8,6.5M,Permuted Flat,161803,13,2.5201683684755953,6561064,block-reset,4999940.25,5605600,experiments/evaluation/tokenizers/enwik8_lossless_permuted_codes_s4_seed161803.json,1c1f0e50472840a6abe894915c0e34df3e31ab1aa346626327e06aa4bec29105,experiments/evaluation/results/enwik8_lossless_s4_random_3_flat_6m_seed13.test_metrics.json
